Company Name,Ticker,Financials,,,,,,,,,Valuation,,,,,,,Growth,,,,,Risk,,,,,,News,,,Outlook,,,,,,,,Buffett,,,,,,Technical,,,Sentiment,,,Extras,,,,Composites,,,,
,,Score,Gross Margins (norm),Operating Margins (norm),Net Margins (norm),Revenue Growth (norm),Earnings Growth (norm),FCF Margin (norm),Debt/Equity (lower-better norm),,Score,Trailing P/E (lower-better norm),Forward P/E (lower-better norm),P/B (lower-better norm),EV/EBITDA (lower-better norm),Dividend Yield (norm),,Score,Earnings Growth (norm),Revenue Growth (norm),Return on Equity (norm),,Score,Debt/Equity (lower-better norm),Current Ratio (norm),Quick Ratio (norm),Beta (lower-better norm),,Score,Target Premium (norm),,Score,P/E (lower-better norm),P/B (lower-better norm),Dividend Yield (norm),FCF Margin (norm),EPS Growth (norm),Debt/Equity (lower-better norm),,Score,Dividend Yield (norm),Debt/Equity (lower-better norm),Return on Equity (norm),FCF Margin (norm),,Score,Change % (norm),,Score,Recommendation Mean (lower-better norm),,FCF Yield,ROIC/ROE,Interest Coverage,Composite_ST_LR,Composite_ST,Composite_LT_LR,Composite_LT
,,Score agregado [0..1] do grupo,Normalized [0..1], higher better; gross margins; good ~20%-60%,Normalized [0..1], higher better; operating margins; good ~5%-30%,Normalized [0..1], higher better; net margins; good ~2%-25%,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1], lower better; range ~4–20,Normalized [0..1] of dividend yield ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1], higher better; range ~5%–25%,,Score agregado [0..1] do grupo,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~1.2–3.0,Normalized [0..1], higher better; range ~1.0–2.5,Normalized [0..1], lower beta is better; range ~0.8–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of (targetMeanPrice - price)/price; higher better; range ~5%–30%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35; uses Fwd/Trailing,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~10%–30%,Normalized [0..1] of free cash flow margin ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of recent change %; higher better; range ~-2%–+5%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~1.0–4.0,,Free cash flow divided by market cap; raw ratio,Return on assets or equity; raw value,Ability to cover interest expenses; raw value,Short-term (low risk) weighted composite,Short-term momentum/valuation composite,Long-term (low risk) weighted composite,Long-term growth/quality composite
"NetEase, Inc.","NTES","3.3759999999999994","1","1","","0.376","1","1","0","","2.269049754716981","","1","0.531324754716981","0.660125","0.0776","","2.3484","1","0.376","0.9723999999999999","","2.9858333333333333","0","1","1","0.9858333333333335","","0.049202115551984615","0.049202115551984615","","0.6849504558490566","1","0.531324754716981","0.0776","1","1","0","","1.8","0.0776","0","0.7224","1","","0.5249271428571428","0.5249271428571428","","0.9222233333333333","0.9222233333333333","","0.3167917742851252","0.109960005","","2.376620198549865","1.8368715179168047","2.468819175459119","2.2182308877106918"
"Align Technology, Inc.","ALGN","2.1265522298655357","1","0.44412004","","0","1","0.6824321898655356","0","","2.0521531402081976","","0.7963034137931034","0.6792872264150943","0.5765625","","","1.3205","1","0","0.32049999999999995","","0.281","0","0.015000000000000074","0.019333333333333275","0.2466666666666667","","1","1","","0.6821548249602228","0.7963034137931034","0.6792872264150943","","0.6824321898655356","1","0","","0.7529321898655355","","0","0.07049999999999994","0.6824321898655356","","0.7115928571428571","0.7115928571428571","","0.6274500000000001","0.6274500000000001","","0.07203786327914391","0.065","","1.2280484992354648","1.3505146909604513","1.2584371699532966","1.303082600982935"
"Huntington Bancshares Incorporated","HBAN","1.856","0","1","","0.324","0.532","","","","1.9169235237475601","","0.8599194482758621","0.9010040754716981","","0.156","","1.13125","0.532","0.324","0.27525","","0.8508333333333333","","","","0.8508333333333333","","0.7924528301886788","0.7924528301886788","","0.6654900174365648","0.8599194482758621","0.9010040754716981","0.156","","0.532","","","0.18125","0.156","","0.025249999999999998","","","0.5604385714285713","0.5604385714285713","","0.7777766666666667","0.7777766666666667","","","0.01054","","1.284836239823404","1.2433573530842397","1.126366696972457","1.1778573653827804"
"GlobalFoundries Inc.","GFS","1.1708292098088018","0.094124975","0.26444","","0.136","1","0.6762642348088018","0","","2.1674354297332465","","0.6130983448275863","0.8165245849056604","0.7378125","","","1.1360000000000001","1","0.136","0","","1.8081111111111112","0","0.7961111111111111","0.5853333333333333","0.42666666666666664","","0.37680232558139576","0.37680232558139576","","0.6631632084212183","0.6130983448275863","0.8165245849056604","","0.6762642348088018","1","0","","0.6762642348088018","","0","0","0.6762642348088018","","0.9098485714285715","0.9098485714285715","","0.6031733333333333","0.6031733333333333","","0.060591293356748004","0.02764","","1.5325592107133843","1.3071844131386667","1.273368679169172","1.2243513326979825"
"Biogen Inc.","BIIB","2.5330977440143316","1","1","","0.292","0.332","0.9090977440143321","0","","2.5613148445022773","","0.8920734482758621","0.905116396226415","0.7641249999999999","","","0.83054997","0.332","0.292","0.20654997","","2.071222222222222","0","0.7238888888888889","0.34733333333333327","1","","0.564459188610132","0.564459188610132","","0.662016708936391","0.8920734482758621","0.905116396226415","","0.9090977440143321","0.332","0","","0.9090977440143321","","0","0","0.9090977440143321","","0.10247571428571428","0.10247571428571428","","0.6095233333333334","0.6095233333333334","","0.10710371989050257","0.05618","","1.8862916674173127","1.457162111598604","1.8518471012213074","1.5288896063891413"
"Okta, Inc.","OKTA","2.53328","1","0.025279999999999997","","0.508","1","1","0","","1.0325336389069615","","0.3443108275862069","0.6882228113207547","0","","","1.508","1","0.508","0","","1.214","0","0.08166666666666668","0.164","0.9683333333333334","","1","1","","0.6359414637576151","0.3443108275862069","0.6882228113207547","","1","1","0","","1","","0","0","1","","0.41202341428571426","0.41202341428571426","","0.6969700000000001","0.6969700000000001","","0.05678739604476821","0.00557","","1.309185897531073","1.2181300925838832","1.4712581922118058","1.3871243385875673"
"Tripadvisor, Inc.","TRIP","1.9171193994010696","1","0.276360024","","0.256","1","0.3847593754010695","0","","2.094381237800911","","0.9165813793103448","0.594987358490566","0.5828125","","","1.444","1","0.256","0.18799999999999997","","0.8111666666666667","0","0.021666666666666747","0.13199999999999998","0.6575","","0.46334460338101396","0.46334460338101396","","0.6340935403963298","0.9165813793103448","0.594987358490566","","0.3847593754010695","1","0","","0.3847593754010695","","0","0","0.3847593754010695","","0.7360357142857142","0.7360357142857142","","0","","","0.10070629747637572","0.03188","","1.359582114798646","1.3255887193913498","1.211125536713691","1.30499237783639"
"Sunrun Inc.","RUN","0.34799999999999986","0","0","","0.348","1","0","0","","1.81773379245283","","1","0.8177337924528302","0","","","1.3479999999999999","1","0.348","0","","0.11555555555555554","0","0.11555555555555554","0","0","","0","0","","0.6218091848198971","1","0.8177337924528302","","0","1","0","","0","","0","0","0","","1","1","","0.6666666666666667","0.6666666666666667","","-0.610350084080597","-0.01432","","0.7882810332618638","0.920389003668763","0.46235209846102526","0.8151774613874594"
"PDD Holdings Inc.","PDD","1.7858457016495213","0.9361250000000001","0.79216","","0.284","0","0.7735607016495213","0","","3","","1","1","1","","","1.284","0","0.284","1","","2.302777777777778","0","0.6427777777777779","0.66","1","","0.31670968247745973","0.31670968247745973","","0.6127737798828565","1","1","","0.7735607016495213","0","0","","1.7735607016495214","","0","1","0.7735607016495213","","0.6627742857142856","0.6627742857142856","","0.7723566666666667","0.7723566666666667","","0.43747826750224417","0.11472","","1.9897572802229517","1.6208159425396822","1.9509768194510777","1.6583577442492055"
"Enphase Energy, Inc.","ENPH","2.1805245842016934","0.31920005","0.24419997999999998","","0.788","1","0.8291245542016935","0","","1.111517393949252","","0.7134577241379311","0.15674716981132075","0.24131250000000004","","","2.5277499999999997","1","0.788","0.7397499999999998","","1.1630555555555557","0","0.4272222222222223","0.3633333333333333","0.37250000000000005","","0.7520746697300402","0.7520746697300402","","0.5845654654916902","0.7134577241379311","0.15674716981132075","","0.8291245542016935","1","0","","1.3188745542016935","","0","0.48974999999999996","0.8291245542016935","","0.5149857142857142","0.5149857142857142","","0.40196","0.40196","","0.06751123950385478","0.03744","","1.2992435499720592","1.3162344349897714","1.4416712805635994","1.5998761300067894"
