Company Name,Ticker,Financials,,,,,,,,,Valuation,,,,,,,Growth,,,,,Risk,,,,,,News,,,Outlook,,,,,,,,Buffett,,,,,,Technical,,,Sentiment,,,Extras,,,,Composites,,,,
,,Score,Gross Margins (norm),Operating Margins (norm),Net Margins (norm),Revenue Growth (norm),Earnings Growth (norm),FCF Margin (norm),Debt/Equity (lower-better norm),,Score,Trailing P/E (lower-better norm),Forward P/E (lower-better norm),P/B (lower-better norm),EV/EBITDA (lower-better norm),Dividend Yield (norm),,Score,Earnings Growth (norm),Revenue Growth (norm),Return on Equity (norm),,Score,Debt/Equity (lower-better norm),Current Ratio (norm),Quick Ratio (norm),Beta (lower-better norm),,Score,Target Premium (norm),,Score,P/E (lower-better norm),P/B (lower-better norm),Dividend Yield (norm),FCF Margin (norm),EPS Growth (norm),Debt/Equity (lower-better norm),,Score,Dividend Yield (norm),Debt/Equity (lower-better norm),Return on Equity (norm),FCF Margin (norm),,Score,Change % (norm),,Score,Recommendation Mean (lower-better norm),,FCF Yield,ROIC/ROE,Interest Coverage,Composite_ST_LR,Composite_ST,Composite_LT_LR,Composite_LT
,,Score agregado [0..1] do grupo,Normalized [0..1], higher better; gross margins; good ~20%-60%,Normalized [0..1], higher better; operating margins; good ~5%-30%,Normalized [0..1], higher better; net margins; good ~2%-25%,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1], lower better; range ~4–20,Normalized [0..1] of dividend yield ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1], higher better; range ~5%–25%,,Score agregado [0..1] do grupo,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~1.2–3.0,Normalized [0..1], higher better; range ~1.0–2.5,Normalized [0..1], lower beta is better; range ~0.8–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of (targetMeanPrice - price)/price; higher better; range ~5%–30%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35; uses Fwd/Trailing,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~10%–30%,Normalized [0..1] of free cash flow margin ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of recent change %; higher better; range ~-2%–+5%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~1.0–4.0,,Free cash flow divided by market cap; raw ratio,Return on assets or equity; raw value,Ability to cover interest expenses; raw value,Short-term (low risk) weighted composite,Short-term momentum/valuation composite,Long-term (low risk) weighted composite,Long-term growth/quality composite
"Paylocity Holding Corporation","PCTY","2.8834368676745195","1","0.017359999999999987","","1","1","0.8660768676745196","0","","0.5495980344827587","","0.5495980344827587","0","0","","","2.75195","1","1","0.7519500000000001","","1","0","0","0","1","","1","1","","0.5190970497359323","0.5495980344827587","0","","0.8660768676745196","1","0","","1.3680268676745198","","0","0.5019500000000001","0.8660768676745196","","0.4015265714285714","0.4015265714285714","","0.7619033333333333","0.7619033333333333","","0.04127299690147334","0.04421","","1.2437467442720442","1.3130128530575818","1.5413871873669927","1.687736675421956"
"Charter Communications, Inc.","CHTR","1.2742867750116562","0.8793500000000001","0.7763199999999999","","0.024","0.324","0.2706167750116563","0","","2.589701037735849","","1","0.720701037735849","0.869","","","1.348","0.324","0.024","1","","0.7908333333333334","0","0","0","0.7908333333333334","","1","1","","0.5190422798801715","1","0.720701037735849","","0.2706167750116563","0.324","0","","1.2706167750116564","","0","1","0.2706167750116563","","0.24387514285714285","0.24387514285714285","","0.5454533333333333","0.5454533333333333","","0.1054057264039382","0.05623","","1.2832243567100248","1.3186266375904727","1.298466276571472","1.290265977473242"
"NANO Nuclear Energy Inc.","NNE","-0.5535294117647059","0","0","","","","","0.4102702702702702","","1","","1","0","","","","0","","","0","","2.4102702702702703","0.4102702702702702","1","1","","","0","0","","0.5177546777546778","1","0","","","","0.4102702702702702","","0.4102702702702702","","0.4102702702702702","0","","","1","1","","0.75","0.75","","-0.0074074507842622215","-0.19153","","1.0141506665036075","0.6079976152623212","0.6203382658676777","0.4248991072520484"
"Gilead Sciences, Inc.","GILD","2.908","1","1","","0.072","0.836","1","0","","1.3408318315862071","","0.7334068275862069","0","0.500625","0.106800004","","1.908","0.836","0.072","1","","1.0638888888888889","0","0.06388888888888888","0","1","","0.07421030369681075","0.07421030369681075","","0.5046455025489656","0.7334068275862069","0","0.106800004","1","0.836","0","","2.106800004","0.106800004","0","1","1","","0.4112841357142857","0.4112841357142857","","0.7619033333333333","0.7619033333333333","","0.06023489677995089","0.12616","","1.4229675883895436","1.2573852194828192","1.8634671037706052","1.6777227645366128"
"PENN Entertainment, Inc.","PENN","-0.23641492500000005","0.507225075","0.012359999999999982","","0.244","","0","0","","1.8379109443721535","","0.7801006896551724","0.9837477547169812","0.07406249999999992","","","0.244","","0.244","0","","0.3291666666666667","0","0","0","0.3291666666666667","","1","1","","0.49813821081884935","0.7801006896551724","0.9837477547169812","","0","","0","","0","","0","0","0","","0.7255457142857143","0.7255457142857143","","0.5999999999999999","0.5999999999999999","","-0.09932828544304728","0.00994","","0.6455131436034948","0.788641306866848","0.32040931857104127","0.4219479654862595"
"Sirius XM Holdings Inc.","SIRI","0.8050311748696535","0.68710005","0.6830799999999999","","0","0","0.4348511248696537","0","","2.9575372873103447","","0.9695247793103449","1","0.7868125","0.201200008","","0","0","0","0","","0.8858333333333334","0","0","0","0.8858333333333334","","0.20892494172494164","0.20892494172494164","","0.4957126548848136","0.9695247793103449","1","0.201200008","0.4348511248696537","0","0","","0.6360511328696538","0.201200008","0","0","0.4348511248696537","","0.6406385571428571","0.6406385571428571","","0.33333333333333337","0.33333333333333337","","0.12890963470428388","0.05969","","1.279775678004284","1.1081887840786804","1.0708906609300093","0.8559678056677438"
"Beam Therapeutics Inc.","BEAM","-1","0","0","","0","","0","0","","2.684191603773585","","1","0.6841916037735849","1","","","0","","0","0","","2","0","1","1","0","","1","1","","0.49022069811320745","1","0.6841916037735849","","0","","0","","0","","0","0","0","","0","0","","0.8666666666666667","0.8666666666666667","","-0.06386490356334329","-0.21017","","1.120069970754717","0.8710479009433962","0.5516508103773585","0.5006728801886793"
"Riot Platforms, Inc.","RIOT","1.3910499500000002","0.3910499500000001","1","","1","","0","0","","1.6808588679245282","","1","0.6808588679245282","0","","","1","","1","0","","0.09833333333333336","0","0.09833333333333336","0","0","","0","0","","0.48936370889487857","1","0.6808588679245282","","0","","0","","0","","0","0","0","","0.7548785714285714","0.7548785714285714","","0.9074066666666667","0.9074066666666667","","-0.013409565510125006","0.00437","","0.9023489350134771","0.9396812571001797","0.7380468527448338","0.8880448953009883"
"Fluence Energy, Inc.","FLNC","0.988","0","0","","0.988","1","0","0","","2.1689809433962264","","1","0.16898094339622638","1","","","1.988","1","0.988","0","","0.24666666666666665","0","0.24666666666666665","0","0","","0","0","","0.48910973842195543","1","0.16898094339622638","","0","1","0","","0","","0","0","0","","1","1","","0.3666666666666667","0.3666666666666667","","-0.08527246258369367","-0.00881","","1.062156209691252","1.213311902515723","0.7199914486849628","1.1424357558604916"
"PayPal Holdings, Inc.","PYPL","1.2189093524103702","0.54205","0.57172","","0.204","0.776","0.1251393524103702","0","","1.9116682992843201","","0.7967668275862069","0.5146514716981132","0.60025","","","1.87615","0.776","0.204","0.89615","","0.5333333333333333","0","0.07166666666666667","0","0.46166666666666667","","0.5930816148707523","0.5930816148707523","","0.48878528455510517","0.7967668275862069","0.5146514716981132","","0.1251393524103702","0.776","0","","0.7712893524103702","","0","0.64615","0.1251393524103702","","0.09131001428571427","0.09131001428571427","","0.5238099999999999","0.5238099999999999","","0.015356293303054465","0.04614","","1.033515975187236","1.1027335561037244","1.0007905838405289","1.2277889408601133"
"Cognizant Technology Solutions Corporation","CTSH","1.0598729128661804","0.35447505000000007","0.42307999999999996","","0.324","0.6","0.3583178628661802","0","","2.3113938165256998","","0.7932573448275861","0.7317114716981132","0.711625","0.0748","","1.5086499999999998","0.6","0.324","0.5846499999999999","","2.1967222222222222","0","0.6722222222222223","0.6453333333333333","0.8791666666666668","","0.9937063611697314","0.9937063611697314","","0.48769789608364184","0.7932573448275861","0.7317114716981132","0.0748","0.3583178628661802","0.6","0","","0.7677678628661802","0.0748","0","0.33465","0.3583178628661802","","0.40295114285714284","0.40295114285714284","","0.56","0.56","","0.05663933624194024","0.10256","","1.6133371072654061","1.4124452960304625","1.3447271461080628","1.3298347427776598"
"Rivian Automotive, Inc.","RIVN","-0.5","0","0","","0.5","","0","0","","2.639048075471698","","1","0.6390480754716981","1","","","0.5","","0.5","0","","2.1425","0","1","1","0.14250000000000007","","0.18111791730474697","0.18111791730474697","","0.4786123622641509","1","0.6390480754716981","","0","","0","","0","","0","0","0","","0.5758928571428571","0.5758928571428571","","0.4933333333333333","0.4933333333333333","","-0.046852965916827215","-0.14535","","1.3329625408086252","1.016358277892208","0.7222184475471699","0.7308296837735849"
"PTC Inc.","PTC","3.968","1","1","","0.968","1","1","0","","0.26417634482758623","","0.26417634482758623","0","0","","","2.5035","1","0.968","0.5354999999999999","","0.7125","0","0","0","0.7125","","0.24904247333069968","0.24904247333069968","","0.4751349952978056","0.26417634482758623","0","","1","1","0","","1.2854999999999999","","0","0.2854999999999999","1","","0.6905614285714285","0.6905614285714285","","0.7368433333333333","0.7368433333333333","","0.03561803582907075","0.07588","","1.31513872859382","1.2834877429207872","1.7414149512539185","1.7539284507836992"
"MARA Holdings, Inc.","MARA","2.5438","0.5438000000000001","1","","1","","1","0","","1.527854858490566","","0","0.843292358490566","0.6845625","","","1.6617500500000002","","1","0.6617500500000001","","0","0","0","0","0","","0.409235177865613","0.409235177865613","","0.4739894636118598","0","0.843292358490566","","1","","0","","1.41175005","","0","0.41175005000000003","1","","1","1","","0.6153833333333334","0.6153833333333334","","0.026819094010562074","0.06371","","1.1212101634838274","1.2741814988024835","1.3926546876347707","1.3893486389959568"
"Lucid Group, Inc.","LCID","0","0","0","","1","","0","0","","2.617036037735849","","1","0.617036037735849","1","","","1","","1","0","","2.371277777777778","0","0.7644444444444445","0.626","0.9808333333333334","","0.18097615708274883","0.18097615708274883","","0.47295212398921826","1","0.617036037735849","","0","","0","","0","","0","0","0","","0.5648914285714286","0.5648914285714286","","0.27777666666666667","0.27777666666666667","","-0.31798379551863165","-0.21927999","","1.5194266980233604","1.1815114964884381","0.9141061736148548","0.9742736082359988"
"Adobe Inc.","ADBE","2.876","1","1","","0.428","0.448","1","0","","0.9699218620689656","","0.7046718620689656","0","0.26525","","","1.876","0.448","0.428","1","","0.42500000000000004","0","0","0","0.42500000000000004","","1","1","","0.47234978369905956","0.7046718620689656","0","","1","0.448","0","","2","","0","1","1","","0.36232571428571425","0.36232571428571425","","0.6583333333333334","0.6583333333333334","","0.059868093865615056","0.18094","","1.1224480153157188","1.2202456083743842","1.6405232576802509","1.5266582360501568"
"Regeneron Pharmaceuticals, Inc.","REGN","1.7437007802291777","0.6837750750000001","0.9856400000000001","","0.144","0.128","0.8022857052291774","0","","2.0410795783994793","","0.7422650689655172","0.7661145094339623","0.5075","0.0252","","0.78880005","0.128","0.144","0.51680005","","3","0","1","1","1","","0.9835691105014972","0.9835691105014972","","0.471674353811779","0.7422650689655172","0.7661145094339623","0.0252","0.8022857052291774","0.128","0","","1.0942857552291774","0.0252","0","0.26680004999999996","0.8022857052291774","","0.11113714285714286","0.11113714285714286","","0.75641","0.75641","","0.048229536828982136","0.06656","","1.8567312028125975","1.3599078142808996","1.7500110450171478","1.355865551591031"
"Skyworks Solutions, Inc.","SWKS","1.0659049999999999","0.537225","0.26467999999999997","","0.264","0","1","0","","2.0073311655823027","","0.6110823448275862","0.768636320754717","0.47281249999999997","0.1548","","0.34445","0","0.264","0.08044999999999997","","1.6116111111111109","0","0.6594444444444445","0.28133333333333327","0.6708333333333333","","0","0","","0.4713686535979181","0.6110823448275862","0.768636320754717","0.1548","1","0","0","","1.1548","0.1548","0","0","1","","1","1","","0.3086433333333334","0.3086433333333334","","0.10319778457594406","0.04631","","1.3628564900887008","1.0745471525066868","1.2790302624193595","0.9713080166680401"
"Cisco Systems, Inc.","CSCO","2.6140286069630845","1","0.6510799999999999","","0.304","0.744","0.9149486069630843","0","","0.9395141735823034","","0.6728263448275862","0.05605032075471705","0.11343750000000008","0.097200008","","1.9009500000000001","0.744","0.304","0.8529500000000001","","0.8616666666666667","0","0","0","0.8616666666666667","","0.32362585235695235","0.32362585235695235","","0.46838560381127325","0.6728263448275862","0.05605032075471705","0.097200008","0.9149486069630843","0.744","0","","1.6150986149630844","0.097200008","0","0.6029500000000001","0.9149486069630843","","0.18478413714285713","0.18478413714285713","","0.6282066666666666","0.6282066666666666","","0.0485928649522904","0.06342","","1.1765487388836056","1.0837927063888195","1.5480822555815026","1.4803239963551922"
"Repligen Corporation","RGEN","2.29976507537384","0.7747500749999999","0.011000011999999976","","0.592","1","0.9220149883738399","0","","0.3667227735849057","","0","0.3667227735849057","0","","","1.592","1","0.592","0","","2.7625","0","1","1","0.7625000000000001","","0.6220141252438287","0.6220141252438287","","0.4681509058551979","0","0.3667227735849057","","0.9220149883738399","1","0","","0.9220149883738399","","0","0","0.9220149883738399","","0.6230857142857142","0.6230857142857142","","0.8095233333333333","0.8095233333333333","","0.018573975159138775","0.01125","","1.5691073704850855","1.1696147163460198","1.5747567763288675","1.3750431111209276"
"Roper Technologies, Inc.","ROP","2.93244","1","0.9284400000000002","","0.528","0.476","1","0","","1.0229571691607027","","0.39552320689655174","0.6018339622641509","0","0.0256","","1.16160003","0.476","0.528","0.15760003","","0.8325000000000001","0","0","0","0.8325000000000001","","0.7351510541610595","0.7351510541610595","","0.46409721872478854","0.39552320689655174","0.6018339622641509","0.0256","1","0.476","0","","1.0256","0.0256","0","0","1","","0.39040086428571424","0.39040086428571424","","0.7222233333333334","0.7222233333333334","","0.038251785867128324","0.04153","","1.2355071020912258","1.1414481277714776","1.5024852972465845","1.3089610266190632"
"LKQ Corporation","LKQ","0.049619129205600965","0.48035","0.15143999999999996","","0","0.268","0.14982912920560099","0","","2.748710347791802","","0.9128265862068965","0.9149587735849056","0.7561249999999999","0.164799988","","0.5784","0.268","0","0.31039999999999995","","1.3102777777777779","0","0.34111111111111114","0","0.9691666666666667","","1","1","","0.46049967002780845","0.9128265862068965","0.9149587735849056","0.164799988","0.14982912920560099","0.268","0","","0.37502911720560095","0.164799988","0","0.060399999999999975","0.14982912920560099","","0.5198242857142857","0.5198242857142857","","0","","","0.07014910102484022","0.05031","","1.2171371416966135","1.1663730912494257","0.8290550927901873","0.82746100151379"
"Check Point Software Technologies Ltd.","CHKP","3.4680000000000004","1","1","","0.24","0.228","1","","","0.5807500344827585","","0.5807500344827585","0","0","","","1.468","0.228","0.24","1","","1.0879999999999999","","0","0.08799999999999993","1","","0.3650732358224274","0.3650732358224274","","0.45895395735027217","0.5807500344827585","0","","1","0.228","","","2","","","1","1","","0.2338491414285714","0.2338491414285714","","0.5855866666666667","0.5855866666666667","","0.03353696632658966","0.09672","","1.307867818498574","1.095918322279768","1.891007900907441","1.5483032966424681"
"Nutanix, Inc.","NTNX","2.6443827875006667","1","0.048959999999999976","","0.768","","0.827422787500667","","","0.15702379310344827","","0.15702379310344827","","0","","","0.768","","0.768","","","1.7884444444444445","","0.35111111111111115","0.4373333333333333","1","","0.8344087082728591","0.8344087082728591","","0.4587033405821967","0.15702379310344827","","","0.827422787500667","","","","0.827422787500667","","","","0.827422787500667","","0.40277714285714283","0.40277714285714283","","0.75","0.75","","0.028346413020941322","0.04192","","1.2292138874532628","0.9356745456577639","1.4272833250379926","1.097757517776601"
"Core Scientific, Inc.","CORZ","0","0","0","","0","","0","","","1.830525103448276","","0.8305251034482759","","1","","","0","","0","","","0.6448888888888891","","0.3255555555555556","0.3193333333333334","","","0","0","","0.45678880689655177","0.8305251034482759","","","0","","","","0","","","","0","","0.8179557142857142","0.8179557142857142","","0.61111","0.61111","","-0.01244088423321137","-0.06744","","0.7785723946469623","0.6857113076081007","0.4492354239846744","0.43042541578544063"
"Baker Hughes Company","BKR","0.3999555725368755","0.03560000000000001","0.31344","","0","0.892","0.15891557253687552","0","","1.952076918022121","","0.6084010689655173","0.6541258490566038","0.60875","0.0808","","1.5601499999999997","0.892","0","0.6681499999999998","","0.9655555555555556","0","0.11555555555555554","0","0.8500000000000001","","0.35568432622554375","0.35568432622554375","","0.45045169105924004","0.6084010689655173","0.6541258490566038","0.0808","0.15891557253687552","0.892","0","","0.6578655725368755","0.0808","0","0.41814999999999997","0.15891557253687552","","0.42844485714285707","0.42844485714285707","","0.7101433333333333","0.7101433333333333","","0.02445780856946547","0.05846","","1.0235741654997816","1.01763224130402","0.8154208828156349","1.0152726032317843"
"Quantum Computing Inc.","QUBT","0.13359269705882348","0.27947505","0","","0","","0","0.7848648648648648","","2","","1","0","1","","","0","","0","0","","2.784864864864865","0.7848648648648648","1","1","0","","0.7083560111835971","0.7083560111835971","","0.44883397683397674","1","0","","0","","0.7848648648648648","","0.7848648648648648","","0.7848648648648648","0","0","","1","1","","0.7777766666666667","0.7777766666666667","","-0.0031788222652088215","-0.08169","","1.507061396554622","1.1047787927228496","1.138150395990234","0.773458307751533"
"Serve Robotics Inc.","SERV","0.44529411764705873","0","0","","1","","0","0.4091891891891891","","2.2421708301886794","","1","0.24217083018867924","1","","","1","","1","0","","2.4091891891891892","0.4091891891891891","1","1","","","0.5115968427443838","0.5115968427443838","","0.44670493162380703","1","0.24217083018867924","","0","","0.4091891891891891","","0.4091891891891891","","0.4091891891891891","0","0","","1","1","","0.8888900000000001","0.8888900000000001","","-0.037519859861960825","-0.30189","","1.567028780995719","1.2949952705248051","1.0987194881199354","1.0465632722203129"
"Monster Beverage Corporation","MNST","3.591773450409392","0.8796","0.99648","","0.444","0.88","0.7511052151152744","0.5886486486486486","","0.12708420689655164","","0.12708420689655164","0","0","","","2.279","0.88","0.444","0.955","","3.5886486486486486","0.5886486486486486","1","1","1","","0","0","","0.4456764796316234","0.12708420689655164","0","","0.7511052151152744","0.88","0.5886486486486486","","2.044753863763923","","0.5886486486486486","0.705","0.7511052151152744","","0","0","","0.6133333333333333","0.6133333333333333","","0.021934908630309866","0.16301","","1.985237984363773","1.2712519341504116","2.3700805097911735","1.9596428682839433"
"QUALCOMM Incorporated","QCOM","2.6753491944736902","0.8920250000000001","0.86588","","0.412","1","0.5054441944736905","0","","1.2753608448275862","","0.7454233448275862","0","0.4419375","0.088","","2.412","1","0.412","1","","2.124833333333333","0","1","0.48066666666666674","0.6441666666666666","","0.2041765360365932","0.2041765360365932","","0.4455330908673333","0.7454233448275862","0","0.088","0.5054441944736905","1","0","","1.5934441944736906","0.088","0","1","0.5054441944736905","","1","1","","0.5648133333333334","0.5648133333333334","","0.031312902799658544","0.14174","","1.7565133591883682","1.5250524041167723","1.8617899094380679","1.790308336573045"
"Keurig Dr Pepper Inc.","KDP","1.3352320090718228","0.8733500000000002","0.6628399199999999","","0.244","0.212","0.3430420890718228","0","","2.225102791802212","","0.7887242068965516","0.8610535849056604","0.436125","0.1392","","0.5150499999999999","0.212","0.244","0.05904999999999997","","1","0","0","0","1","","0.956520817562452","0.956520817562452","","0.4451205468331883","0.7887242068965516","0.8610535849056604","0.1392","0.3430420890718228","0.212","0","","0.4822420890718228","0.1392","0","0","0.3430420890718228","","0.6176828571428571","0.6176828571428571","","0.7017533333333332","0.7017533333333332","","0.03765687603976776","0.040349998","","1.2553549401625221","1.2008326933742657","1.0994075984431533","0.9668226388585163"
"VeriSign, Inc.","VRSN","3.6319999999999997","1","1","","0.236","0.396","1","","","0.29330527586206895","","0.24650527586206894","","0","0.0468","","0.632","0.396","0.236","","","1","","0","0","1","","0.48075437400590765","0.48075437400590765","","0.44446737241379314","0.24650527586206894","","0.0468","1","0.396","","","1.0468","0.0468","","","1","","0.4631757285714285","0.4631757285714285","","0.6666666666666667","0.6666666666666667","","0.03056347337294025","0.4656","","1.2220906290640392","0.977674620780689","1.6397425286206895","1.2219692658620689"
"Northern Trust Corporation","NTRS","0.9402000000000001","0","0.9402000000000001","","0","0","","","","1.5856972485361092","","0.7353659655172414","0.7495312830188678","","0.1008","","0.42924999999999996","0","0","0.42924999999999996","","0.5691666666666667","","","","0.5691666666666667","","0.041968039045894884","0.041968039045894884","","0.4411316333674133","0.7353659655172414","0.7495312830188678","0.1008","","0","","","0.28005","0.1008","","0.17925","","","0.5503071285714285","0.5503071285714285","","0.3125","0.3125","","","0.01055","","0.8758206883279116","0.7751151103718639","0.7478735839504911","0.7063550806205658"
"Xcel Energy Inc.","XEL","1.46339","0.6123500000000001","0.5070399999999999","","0.344","1","0","0","","1.7042668108028625","","0.5369876206896552","0.7054916981132076","0.3481875","0.113599992","","1.6266999999999998","1","0.344","0.28269999999999995","","1","0","0","0","1","","0","0","","0.4387577812521016","0.5369876206896552","0.7054916981132076","0.113599992","0","1","0","","0.14629999199999993","0.113599992","0","0.03269999999999995","0","","0.149795","0.149795","","0.7999999999999999","0.7999999999999999","","-0.08834871383353395","0.02207","","1.1589349808259257","1.0195392027007155","0.9751077977456395","1.1573745770708497"
"Micron Technology, Inc.","MU","2.4947749999999997","0.49477499999999996","1","","1","1","0","0","","1.7292852670040337","","0.8560369655172414","0.37864830188679244","0.485","0.0095999996","","2.60994995","1","1","0.60994995","","1.5657222222222222","0","0.7322222222222221","0.47266666666666673","0.36083333333333334","","0","0","","0.4376368267054158","0.8560369655172414","0.37864830188679244","0.0095999996","0","1","0","","0.3695499496000001","0.0095999996","0","0.3599499500000001","0","","1","1","","0.82906","0.82906","","-0.004120108847420224","0.08055","","1.6752541635882168","1.5546022814732305","1.457120904565591","1.6918898600739105"
"Intellia Therapeutics, Inc.","NTLA","0","0","0","","1","","0","0","","2.471934245283019","","1","0.47193424528301875","1","","","1","","1","0","","2","0","1","1","0","","1","1","","0.43564023450134765","1","0.47193424528301875","","0","","0","","0","","0","0","0","","0","0","","0.7866666666666667","0.7866666666666667","","-0.06969346389333556","-0.30617002","","1.3115475847708893","1.1179835613207547","0.8143541602425876","0.9079181836927224"
"CRISPR Therapeutics AG","CRSP","0","0","0","","1","","0","0","","2.4666015283018865","","1","0.4666015283018867","1","","","1","","1","0","","2.1375","0","1","1","0.13750000000000007","","0.5710967930882993","0.5710967930882993","","0.4342689644204851","1","0.4666015283018867","","0","","0","","0","","0","0","0","","0","0","","0.6153833333333334","0.6153833333333334","","-0.0385335626848796","-0.13051","","1.35132727851752","1.0660649010387167","0.8409171256873316","0.9205940221293799"
"Sandisk Corporation","SNDK","-0.36313514544826064","0.25187505","0","","0.32","","0.06498980455173929","0","","1.4509865858815876","","0.7206591896551724","0.7303273962264151","0","","","0.32","","0.32","0","","1.5553333333333335","0","1","0.5553333333333333","","","0","0","","0.4310030255202938","0.7206591896551724","0.7303273962264151","","0.06498980455173929","","0","","0.06498980455173929","","0","0","0.06498980455173929","","1","1","","0.7222233333333334","0.7222233333333334","","0.006063676131122185","0.02392","","0.9158199199327741","0.7118097079864913","0.4791218646043909","0.4732538776851521"
"Rambus Inc.","RMBS","4","1","1","","1","1","1","0","","0.06762958620689663","","0.06762958620689663","0","0","","","2.76514995","1","1","0.76514995","","2.45","0","1","1","0.45000000000000007","","0.06760127821874012","0.06760127821874012","","0.4259983056426332","0.06762958620689663","0","","1","1","0","","1.51514995","","0","0.51514995","1","","1","1","","0.9166666666666666","0.9166666666666666","","0.017211432681444327","0.10767","","1.8327647246159877","1.4868200807845353","2.121531755995298","1.9831465815595613"
"TMC the metals company Inc.","TMC","-1","0","0","","","","","0","","2","","1","0","1","","","0","","","0","","1.8084444444444445","0","0.6477777777777779","0.9106666666666667","0.25","","0","0","","0.4230769230769231","1","0","","","","0","","0","","0","0","","","1","1","","0","","","-0.001221572574826529","-0.40699002","","0.9848410256410256","0.7308444444444444","0.4039965811965813","0.3654598290598291"
"CoreWeave, Inc.","CRWV","1","1","0","","1","","","0","","1","","1","0","0","","","1","","1","","","0","0","0","0","","","0","0","","0.4230769230769231","1","0","","","","0","","0","","0","","","","0.6149171428571428","0.6149171428571428","","0.5679000000000001","0.5679000000000001","","","","","0.6037994065934066","0.6729834285714286","0.4923076923076923","0.6846153846153847"
"Summit Therapeutics Inc.","SMMT","-1","0","0","","","","","0","","2","","1","0","1","","","0","","","0","","3","0","1","1","1","","1","1","","0.4230769230769231","1","0","","","","0","","0","","0","0","","","1","1","","0.7777766666666667","0.7777766666666667","","0.002434243530307224","-1.4253","","1.3423076923076924","1","0.6423076923076924","0.48461538461538467"
"Intuitive Machines, Inc.","LUNR","-0.16800000000000004","0","0","","0.832","","0","0","","2","","1","","1","","","0.832","","0.832","0","","2.4924999999999997","0","1","1","0.49249999999999994","","0.5580179591836734","0.5580179591836734","","0.4230769230769231","1","","","0","","0","","0","","0","0","0","","0.30907657142857137","0.30907657142857137","","0","","","-0.015268769249918653","-0.123409994","","1.3289653494505493","0.9943680081632653","0.7904076923076923","0.8082653846153846"
"Twist Bioscience Corporation","TWST","0.44709999999999983","0.7311","0","","0.716","","0","0","","2.416485641509434","","1","0.4164856415094339","1","","","0.716","","0.716","0","","2","0","1","1","0","","1","1","","0.4213820221024258","1","0.4164856415094339","","0","","0","","0","","0","0","0","","0","0","","0.875","0.875","","-0.01349278185824342","-0.13884","","1.3714796125876012","1.1285864103773584","0.9387410484366576","0.9151692506469002"
"Lam Research Corporation","LRCX","3.67716995475842","0.7176250750000001","1","","1","1","0.9595448797584204","0","","0.3218828275862069","","0.29188282758620687","0","0","0.03","","3","1","1","1","","1.0182777777777778","0","0.5611111111111111","0.3246666666666667","0.13250000000000006","","0","0","","0.42053230042548123","0.29188282758620687","0","0.03","0.9595448797584204","1","0","","1.9895448797584203","0.03","0","1","0.9595448797584204","","0.9860271857142856","0.9860271857142856","","0.7549033333333334","0.7549033333333334","","0.025448102521159883","0.18399","","1.4120439797955457","1.3810794150309498","1.894528416103166","1.9186051409283311"
"Monolithic Power Systems, Inc.","MPWR","4.310006163224484","0.8827999999999999","0.79167996","","1","1","0.8031732620480145","0.7648648648648649","","0.0256","","0","0","0","0.0256","","3","1","1","1","","3.3690315315315313","0.7648648648648649","1","1","0.6041666666666667","","0","0","","0.4194269709524265","0","0","0.0256","0.8031732620480145","1","0.7648648648648649","","2.5936381269128796","0.0256","0.7648648648648649","1","0.8031732620480145","","1","1","","0.7916666666666666","0.7916666666666666","","0.010864827800618938","0.12478","","2.171053389199599","1.6398040776368257","2.6610003840971137","2.2959935926798236"
"Vertex Pharmaceuticals Incorporated","VRTX","2.2975250000000003","0.8135250000000002","1","","0.484","","1","0","","0.5095577931034483","","0.5095577931034483","0","0","","","1.37255","","0.484","0.8885499999999998","","2.4","0","0.7333333333333334","0.6666666666666666","1","","0.5304416132754006","0.5304416132754006","","0.4172895921182265","0.5095577931034483","0","","1","","0","","1.63855","","0","0.63855","1","","0.27100042857142853","0.27100042857142853","","0.6770833333333333","0.6770833333333333","","0.028615063708362972","0.12535","","1.4443509503448275","1.051667025981458","1.69705762817734","1.3663890873891626"
